time,desired_x,desired_y,desired_z,actual_x,actual_y,actual_z,error_x,error_y,error_z,error_norm
0.0,-0.044000000000000004,-0.7,0.048210235533030596,-0.0641838120555777,-0.7428208795546715,0.08990440557607296,-0.020183812055577698,-0.04282087955467151,0.041694170043042364,0.06308262685168317
0.001,-0.043992019041554975,-0.7,0.048214842784378056,-0.0641838120555777,-0.7428208795546715,0.08990440557607296,-0.020191793014022727,-0.04282087955467151,0.041689562791694904,0.06308213595558962
0.002,-0.04398403760068346,-0.7,0.04821944919993626,-0.06415353024115969,-0.7427934767558921,0.0898629644433395,-0.020169492640476232,-0.04279347675589218,0.041643515243403234,0.06302596645874513
0.003,-0.043976055677473,-0.7,0.04822405477965466,-0.06409347385557332,-0.7427356062624074,0.08978737072471021,-0.020117418178100317,-0.042735606262407466,0.04156331594505555,0.06291702304715784
0.004,-0.043968073272011125,-0.7,0.048228659523482764,-0.0639982966729763,-0.7426470915043852,0.08968757469521407,-0.02003022340096517,-0.04264709150438528,0.04145891517173131,0.06276006620848003
0.005,-0.043960090384385385,-0.7,0.04823326343137008,-0.06387819306339207,-0.7425431325054838,0.08958102314420953,-0.019918102679006684,-0.042543132505483805,0.04134775971283945,0.06258023786293335
0.006,-0.04395210701468329,-0.7,0.04823786650326613,-0.06372801208074241,-0.7424062699836256,0.08944934942414284,-0.01977590506605912,-0.04240626998362562,0.041211482920876716,0.062351940464139874
0.007,-0.043944123162992434,-0.7,0.0482424687391204,-0.06357157418579176,-0.7422993034990195,0.0893512155269181,-0.01962745102279933,-0.04229930349901956,0.041108746787797704,0.062164274085827
0.008,-0.043936138829400326,-0.7,0.048247070138882464,-0.06338516420730524,-0.7421648698798379,0.08921181584498357,-0.01944902537790491,-0.04216486987983792,0.040964745706101105,0.061921330984561214
0.009000000000000001,-0.043928154013994546,-0.7,0.04825167070250182,-0.0631997077638849,-0.742061665051522,0.08910817788786612,-0.019271553749890348,-0.04206166505152209,0.04085650718536431,0.06172382546658197
0.01,-0.04392016871686265,-0.7,0.048256270429928055,-0.06298497766468066,-0.7419308597211253,0.08896334322672494,-0.019064808947818007,-0.04193085972112531,0.04070707279679689,0.061471373116705405
0.011,-0.043912182938092216,-0.7,0.04826086932111069,-0.06278319918853134,-0.7418258621417892,0.08884970435987478,-0.018871016250439125,-0.041825862141789294,0.04058883503876409,0.06126150118983621
0.012,-0.043904196677770804,-0.7,0.048265467375999335,-0.0625530801060818,-0.7416930945784711,0.08869494151113107,-0.01864888342831099,-0.041693094578471146,0.04042947413513173,0.06099702752999819
0.013000000000000001,-0.04389620993598601,-0.7,0.04827006459454353,-0.06234108443365383,-0.741583589570496,0.08857087444340797,-0.018444874497667824,-0.041583589570496016,0.040300809848864444,0.060774695320310004
0.014,-0.0438882227128254,-0.7,0.048274660976692876,-0.06210175279209783,-0.7414461350156464,0.08840575718177607,-0.018213530079272428,-0.041446135015646424,0.04013109620508319,0.06049809640232821
0.015,-0.04388023500837658,-0.7,0.04827925652239698,-0.06188302316806808,-0.741331033383234,0.08827079445885617,-0.018002788159691502,-0.04133103338323407,0.039991537936459196,0.060263403559473745
0.016,-0.04387224682272713,-0.7,0.04828385123160542,-0.06163776680862918,-0.7411878332331013,0.08809485301896554,-0.017765519985902048,-0.04118783323310138,0.03981100178736012,0.05997472109247733
0.017,-0.04386425815596466,-0.7,0.048288445104267844,-0.06141437761643126,-0.7410666295712165,0.08794874440870955,-0.0175501194604666,-0.04106662957121654,0.039660299304441704,0.05972783353122784
0.018000000000000002,-0.04385626900817678,-0.7,0.04829303814033384,-0.06116505431644554,-0.7409172116425604,0.08776172635760099,-0.017308785308268758,-0.04091721164256046,0.03946868821726715,0.05942717902644941
0.019,-0.043848279379451086,-0.7,0.04829763033975305,-0.06093818406721862,-0.7407896690453276,0.08760443641009866,-0.017089904687767533,-0.04078966904532766,0.039306806070345604,0.05916829342237359
0.02,-0.0438402892698752,-0.7,0.04830222170247511,-0.06068579545900611,-0.740633754881548,0.0874064729519822,-0.01684550618913091,-0.04063375488154808,0.03910425124950709,0.058855888238360285
0.021,-0.04383229867953675,-0.7,0.04830681222844971,-0.06045610519672296,-0.7404996961495922,0.08723821047853626,-0.01662380651718621,-0.04049969614959226,0.038931398250086555,0.05858523791056057
0.022,-0.043824307608523363,-0.7,0.04831140191762645,-0.060201172679495575,-0.7403363451363847,0.08703144704154475,-0.01637686507097221,-0.04033634513638473,0.0387200451239183,0.05826203174377501
0.023,-0.043816316056922655,-0.7,0.04831599076995503,-0.05996902137714551,-0.7401948570462898,0.08685435329658371,-0.01615270532022285,-0.04019485704628989,0.03853836252662868,0.05798052956266865
0.024,-0.04380832402482229,-0.7,0.04832057878538512,-0.059711794223186745,-0.7400232504460929,0.08664074810275818,-0.015903470198364453,-0.040023250446092895,0.03832016931737306,0.05764734440659935
0.025,-0.04380033151230988,-0.7,0.04832516596386642,-0.05947733644797713,-0.7398735307393871,0.08645677839046,-0.015677004935667253,-0.03987353073938715,0.038131612426593575,0.05735579136957081
0.026000000000000002,-0.0437923385194731,-0.7,0.048329752305348625,-0.059217903273516864,-0.7396929480187194,0.08623811832489743,-0.015425564754043768,-0.039692948018719476,0.037908366019548806,0.05701335268750687
0.027,-0.04378434504639958,-0.7,0.048334337809781414,-0.05898117202666373,-0.7395342862891867,0.08604905737389408,-0.015196826980264151,-0.03953428628918676,0.03771471956411267,0.05671246260270424
