time,joint_positions
0.017,"array('d', [-1.9450196948311682, 1.3011172828728554, -2.0050411125777097, 2.3000090208017854, 1.9893091006577523, 1.1530874499909138])"
0.018000000000000002,"array('d', [-1.9445315585745204, 1.3013513394416154, -2.0055086415779684, 2.3002162910555053, 1.9880548061190604, 1.1535834213150318])"
0.019,"array('d', [-1.9440250282248113, 1.3016028136403797, -2.0059859181913446, 2.300439216972801, 1.9867316471901395, 1.154110970147793])"
0.02,"array('d', [-1.943500453900847, 1.3018714018670072, -2.0064718451307595, 2.3006761112760463, 1.9853397277744236, 1.1546691945949206])"
0.021,"array('d', [-1.9429581776315121, 1.3021568107008168, -2.0069653631328928, 2.3009253268560337, 1.9838791516451941, 1.155257201795993])"
0.022,"array('d', [-1.9423985335032217, 1.3024587564061476, -2.0074654524172715, 2.3011852515909283, 1.9823500225492436, 1.1558741180553371])"
0.023,"array('d', [-1.9418218465466883, 1.302776965037687, -2.007971130773685, 2.3014543126024867, 1.9807524440409863, 1.1565190859276508])"
0.024,"array('d', [-1.9412284324484064, 1.3031111721604138, -2.0084814534280246, 2.301730975035883, 1.9790865194755065, 1.15719126812021])"
0.025,"array('d', [-1.9406185969339036, 1.3034611227311153, -2.0089955118795206, 2.302013743547347, 1.9773523519255343, 1.1578898473669168])"
0.026000000000000002,"array('d', [-1.9399926354432604, 1.3038265708481267, -2.009512433251965, 2.302301162061286, 1.9755500441496652, 1.15861402821245])"
0.027,"array('d', [-1.9393508327519158, 1.3042072795342827, -2.0100313793304747, 2.302591814232637, 1.9736796985419784, 1.1593630375013841])"
0.028,"array('d', [-1.9386934627164272, 1.3046030204685093, -2.010551545742055, 2.3028843233182275, 1.9717414171001553, 1.1601361253299634])"
0.029,"array('d', [-1.9380207880398677, 1.3050135737164157, -2.0110721610411453, 2.3031773521782095, 1.9697353013914365, 1.1609325655325837])"
0.03,"array('d', [-1.937333060105926, 1.3054387274370873, -2.0115924858363137, 2.3034696030404236, 1.96766145252689, 1.1617516562213221])"
0.031,"array('d', [-1.9366305188482058, 1.3058782775823083, -2.012111811892087, 2.3037598172434186, 1.9655199711377953, 1.1625927201191684])"
0.032,"array('d', [-1.9359133926659569, 1.3063320275832218, -2.012629461247317, 2.304046774860885, 1.9633109573568874, 1.163455104842312])"
0.033,"array('d', [-1.9351818983740792, 1.306799788030451, -2.0131447853335396, 2.3043292942756066, 1.9610345108024865, 1.1643381830647623])"
0.034,"array('d', [-1.9344362411881426, 1.307281376347555, -2.013657164106868, 2.304606231682049, 1.9586907305660692, 1.1652413526151857])"
0.035,"array('d', [-1.9336766147387923, 1.307776616460657, -2.014166005190446, 2.304876480542408, 1.9562797152025422, 1.1661640364931187])"
0.036000000000000004,"array('d', [-1.9329032011137033, 1.3082853384652522, -2.014670743032607, 2.305138970995708, 1.9538015627231886, 1.167105682823595])"
0.037,"array('d', [-1.9321161709236738, 1.3088073782919079, -2.0151708380810986, 2.305392669231567, 1.95125637059092, 1.1680657647514865])"
0.038,"array('d', [-1.9313156833906562, 1.309342577371956, -2.015665775975753, 2.3056365768328737, 1.9486442357176736, 1.1690437802851097])"
0.039,"array('d', [-1.930501886455266, 1.3098907823043748, -2.016155066760497, 2.3058697300944266, 1.9459652544637152, 1.170039252093441])"
0.04,"array('d', [-1.929674916901787, 1.3104518445247986, -2.016638244115964, 2.3060911993221573, 1.9432195226386773, 1.1710517272630994])"
0.041,"array('d', [-1.9288349004987608, 1.311025619977536, -2.0171148646134216, 2.3063000881179225, 1.9404071355041517, 1.1720807770195178])"
0.042,"array('d', [-1.9279819521535118, 1.311611968791336, -2.0175845069907017, 2.306495532653847, 1.937528187777686, 1.1731259964168692])"
0.043000000000000003,"array('d', [-1.9271161760790956, 1.3122107549595456, -2.018046771450535, 2.3066767009399505, 1.9345827736380379, 1.1741870040005504])"
0.044,"array('d', [-1.9262376659723415, 1.3128218460252177, -2.0185012789815953, 2.3068427920882373, 1.9315709867315631, 1.1752634414457883])"
0.045,"array('d', [-1.9253465052017966, 1.313445112771629, -2.0189476707023775, 2.3069930355760877, 1.928492920179617, 1.176354973175477])"
0.046,"array('d', [-1.9244427670045212, 1.3140804289186103, -2.0193856072279366, 2.3071266905113927, 1.9253486665868689, 1.1774612859600617])"
0.047,"array('d', [-1.9235265146908038, 1.3147276708250102, -2.01981476805939, 2.3072430449015715, 1.9221383180504308, 1.1785820885019567])"
0.048,"array('d', [-1.9225978018559833, 1.3153867171975582, -2.0202348509960015, 2.3073414149283096, 1.9188619661697195, 1.179717111006718])"
0.049,"array('d', [-1.9216566725986597, 1.3160574488063443, -2.020645571569583, 2.307421144229601, 1.9155197020569736, 1.1808661047429372])"
0.05,"array('d', [-1.9207031617446761, 1.3167397482070784, -2.0210466625008814, 2.3074816031904395, 1.9121116163483571, 1.1820288415925955])"
0.051000000000000004,"array('d', [-1.9197372950763318, 1.3174334994702561, -2.021437873177568, 2.3075221882433112, 1.9086377992155905, 1.183205113593415])"
0.052000000000000005,"array('d', [-1.9187590895663649, 1.3181385879173217, -2.0218189691533874, 2.3075423211794472, 1.9050983403780524, 1.1843947324745598])"
0.053,"array('d', [-1.9177685536163127, 1.3188548998638856, -2.022189731667998, 2.3075414484716497, 1.9014933291153058, 1.1855975291868752])"
0.054,"array('d', [-1.9167656872989158, 1.3195823223700296, -2.0225499571870036, 2.3075190406093533, 1.897822854280003, 1.186813353428705])"
0.055,"array('d', [-1.915750482604289, 1.3203207429977104, -2.0228994569616376, 2.307474591446477, 1.8940870043111342, 1.1880420731681955])"
0.056,"array('d', [-1.914722923689634, 1.3210700495752508, -2.0232380566075663, 2.307407617562505, 1.8902858672475824, 1.1892835741628736])"
0.057,"array('d', [-1.9136829871323071, 1.3218301299688937, -2.0235655957022454, 2.3073176576371552, 1.8864195307419585, 1.1905377594771824])"
0.058,"array('d', [-1.9126311201911426, 1.3226008234849866, -2.0238822338011855, 2.307204118261235, 1.8825411736429327, 1.1918045715895855])"
0.059000000000000004,"array('d', [-1.9115678854630411, 1.323381509044448, -2.0241899509894963, 2.3070624367959267, 1.8786898473231008, 1.193085718480798])"
0.06,"array('d', [-1.9104935123631162, 1.3241716857506185, -2.024489894718498, 2.3068910027008767, 1.8748798304156222, 1.1943802138923756])"
0.061,"array('d', [-1.9094083496326166, 1.3249709421428424, -2.02478276076167, 2.306689617082453, 1.8711161929872262, 1.1956874553954193])"
0.062,"array('d', [-1.9083127816391972, 1.3257789212051034, -2.0250689846563783, 2.30645881705425, 1.8674005739343302, 1.1970068752540066])"
0.063,"array('d', [-1.9072072131283853, 1.3265952852999365, -2.0253489166119225, 2.3061993344550418, 1.8637332739417924, 1.1983380189022539])"
0.064,"array('d', [-1.9060920465831555, 1.3274197097685798, -2.0256228535811776, 2.3059119904287764, 1.8601140737006745, 1.199680434769333])"
0.065,"array('d', [-1.9049676805572047, 1.3282518773354983, -2.0258910680768922, 2.3055976100139883, 1.8565425319693443, 1.2010336923822003])"
0.066,"array('d', [-1.9038345059480504, 1.3290914774817149, -2.026153812355249, 2.305257010793367, 1.8530181061482227, 1.2023973632956313])"
0.067,"array('d', [-1.9026929059230362, 1.3299382056110645, -2.02641132363673, 2.3048909900707595, 1.8495401976381265, 1.2037710258400298])"
0.068,"array('d', [-1.9015432552654137, 1.3307917630262063, -2.026663825188764, 2.3045003243222704, 1.8461081722949133, 1.2051542621613387])"
0.069,"array('d', [-1.9003859203614963, 1.3316518568048055, -2.0269115277994283, 2.304085767684629, 1.8427213698163358, 1.2065466595436263])"
0.07,"array('d', [-1.8992212590699675, 1.3325181997968891, -2.0271546305313217, 2.3036480524947014, 1.8393791095042662, 1.2079478102100383])"
0.07100000000000001,"array('d', [-1.8980496207151423, 1.3333905105861068, -2.0273933215467372, 2.3031878895792066, 1.8360806942535368, 1.2093573118610397])"
