time,q1,q2,q3,q4,q5,q6
0.0,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.002,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.004,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.006,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.008,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.01,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.012,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.014,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.016,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.018000000000000002,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.02,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.022,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.024,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.026000000000000002,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.028,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.03,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.032,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.034,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.036000000000000004,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.038,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.04,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.042,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.044,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.046,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.048,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.05,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.052000000000000005,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.054,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.056,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.058,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.06,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.062,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.064,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.066,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.068,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.07,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.07200000000000001,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.074,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.076,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.078,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.08,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.082,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.084,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.08600000000000001,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.088,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.09,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.092,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.094,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.096,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.098,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.1,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.10200000000000001,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.10400000000000001,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.106,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.108,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.11,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.112,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.114,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.116,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.11800000000000001,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.12,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.122,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.124,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.126,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.128,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.13,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.132,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.134,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.136,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.138,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.14,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.14200000000000002,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.14400000000000002,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.146,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.148,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.15,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.152,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.154,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.156,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.158,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.16,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.162,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.164,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.166,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.168,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.17,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.17200000000000001,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
0.17400000000000002,-1.976409491088131,1.2295329078196238,-2.037935898671675,2.1911526881005634,2.077106173588028,1.1121752908056732
