time,fx,fy,fz,mx,my,mz,force_magnitude,torque_magnitude
0.0,-40010.20444776389,-32023.863508028255,61847.715304888145,-2013.4348138281675,1916.9720121675896,-296.66402598729564,80321.1316053701,2795.838155059072
0.001,-39859.3047464176,-31999.073688436467,61275.793382073025,-2008.6843395317342,1910.1430797387834,-296.5211816358317,79796.1637322765,2787.7202463864114
0.002,-6.568273031999672,-4.028882594476974,-33.01596613795868,-0.7442854969814525,0.23707170317638027,-0.04602746187093201,33.90321703918092,0.7824847734685689
0.003,16.982073396341008,10.01904689883963,25.17323335342503,1.3858002336091944,-1.4533349885109261,-0.0813679784485909,31.975987788743154,2.009787457473591
0.004,16.824588638362542,9.92903709510467,25.343136765900503,1.3757228142450324,-1.4345579479370838,-0.07883118087702445,31.998861567581127,1.9891666905270144
0.005,16.670365648703573,9.836517940341981,25.508255569720383,1.365409506973792,-1.416174498241806,-0.07633526156607895,32.02076323672371,1.96868494263638
0.006,16.519420122098943,9.741638340271752,25.668553111913,1.3548768330577543,-1.398185356097816,-0.07388175727606405,32.04161945941807,1.9483511071727255
0.007,16.435346955343054,9.703182275047563,25.822085371183768,1.3461404834212287,-1.383150206306137,-0.10674918443933101,32.11000574154424,1.9330271810527422
0.008,16.428423933087885,9.731156920810937,25.968775657933406,1.3396658313110679,-1.3714980619133499,-0.18069167024200344,32.23299299033175,1.925710506049467
0.009000000000000001,16.28950347932536,9.633970994742857,26.114977008595144,1.329063442859812,-1.3548057932805455,-0.17993671575139641,32.25140841715215,1.9063802334078854
0.01,16.150982430484767,9.533850112728198,26.25620915740738,1.3182977762378523,-1.338350175098421,-0.1779436440284805,32.26665540088278,1.8869960674229755
0.011,16.015108814841426,9.43294985272607,26.39237325852002,1.3074471352642163,-1.322222335715395,-0.17594443530145532,32.2803596555599,1.8677918408882797
0.012,15.8819482702132,9.331410575775784,26.523445089449954,1.2965242685924387,-1.306426424347536,-0.1739603947963923,32.29248586907634,1.8487799761573478
0.013000000000000001,15.751530370985328,9.229336181159274,26.649403901948585,1.2855405469970853,-1.2909651775778386,-0.17199271318191534,32.302973295071794,1.8299691475759428
0.014,15.623884290964515,9.126826890580851,26.770231184857657,1.2745070241849312,-1.2758413439409566,-0.17004222977823968,32.31176267427704,1.811367894579605
0.015,15.499039407202073,9.023979730716755,26.885910570080963,1.2634344477298063,-1.2610577099674256,-0.1681097577357698,32.31879669648579,1.7929846742860318
0.016,15.377025324089484,8.9208884862942,26.99642775798116,1.2523332529192404,-1.2466171029305104,-0.1661960891278404,32.324020029917094,1.774827855801101
0.017,15.257871885864045,8.817643646757933,27.10177044411311,1.2412135565457045,-1.2325223929733196,-0.16430199480252689,32.32737934278085,1.7569057139270747
0.018000000000000002,15.141609186899434,8.71433235495535,27.20192824711898,1.2300851509096389,-1.2187764949957711,-0.16242822414344915,32.328823324130255,1.7392264232241184
0.019,15.02826758000935,8.611038357856618,27.29689263789414,1.2189574980268267,-1.2053823703156445,-0.16057550482419097,32.32830270431093,1.721798052447826
0.02,14.917877682834149,8.507841959186239,27.386656870133365,1.2078397240280954,-1.1923430281112937,-0.15874454255514547,32.325770275198614,1.7046285593691421
0.021,14.810470382380561,8.404819973848957,27.471215912361103,1.1967406137395313,-1.1796615266534904,-0.1569360208245294,32.32118091041452,1.6877257859831232
0.022,14.706076837773733,8.302045684030018,27.550566381547114,1.1856686054316623,-1.167340974333221,-0.15515060063108266,32.31449158569976,1.6710974541120223
0.023,14.604728481278869,8.199588796855288,27.62470647840214,1.1746317857259734,-1.1553845304916197,-0.15338892020853995,32.3056613996257,1.6547511614076214
0.024,14.506457017646728,8.097515403501811,27.693635924446255,1.163637884647735,-1.1437954060581756,-0.1516515947421035,32.29465159481615,1.638694377757813
0.025,14.411294421825307,7.9958879396478455,27.757355900936485,1.1526942708140775,-1.1325768640022904,-0.14993921607465238,32.28142557984688,1.6229344421010794
0.026000000000000002,14.319272935081935,7.894765147161063,27.815868989737364,1.1418079467467277,-1.121732219602971,-0.14825235240369422,32.26594895199011,1.6074785596525434
0.027,11.299938975937168,7.813065096759409,25.6620182156202,1.1524149348153874,-0.888863600044774,-0.157486958460197,29.107933385332032,1.4638786915435151
0.028,8.492273286620643,7.666527141696802,23.729031783879034,1.1591837657818653,-0.6748206104931295,-0.12232413735915854,26.343145092971827,1.3468678679733987
0.029,8.39431555880271,7.2014637614206105,23.616077986341995,1.1110630684089355,-0.6706035709767959,-0.07770081215424118,26.07766771520794,1.3000798850834276
0.03,3.921885241509591,5.637463953557604,18.45563528133525,0.9124278664109562,-0.2270488339150168,-0.03943360094520454,19.691943969880132,0.9410795892319226
0.031,0.8355676489483241,4.871234678520702,13.601475174897491,0.8051155966274964,0.06449881768124892,-0.013933669159035565,14.471600724264903,0.8078151821743399
0.032,-0.8785800541835607,4.155594612246055,10.640176574281693,0.7114590004629039,0.22291410072292608,0.0049871730666392776,11.456623718392366,0.745579960524679
0.033,15.878484274762151,-5.775867676377846,21.000880126787663,-0.42301269630209737,-1.4046294185940968,0.10567733447634492,26.95410685551648,1.4707451321812308
0.034,-14.724580161140862,9.130530107016964,-6.511173087858088,1.178751350855327,1.6178399566517625,-0.1646720677999407,18.508787532873505,2.0084764779294138
0.035,18.19684420456257,-20.138202398667808,13.154931346038195,-2.085596868111019,-1.7725186409660343,0.255122334419406,30.16164043240703,2.748931435006369
0.036000000000000004,-14.184334507778221,9.494494853775572,-8.857172652251954,1.204802629518264,1.53407573675645,-0.1987495989875917,19.22993201622717,1.960724137990017
